ID	Codepoints	Character	Remarks	Tags
1547	U+1F1EC U+1F1F1	🇬🇱	flag: Greenland	flag
1548	U+1F1EC U+1F1F2	🇬🇲	flag: Gambia	flag
1549	U+1F1EC U+1F1F3	🇬🇳	flag: Guinea	flag
1550	U+1F1EC U+1F1F5	🇬🇵	flag: Guadeloupe	flag
1551	U+1F1EC U+1F1F6	🇬🇶	flag: Equatorial Guinea	flag
1552	U+1F1EC U+1F1F7	🇬🇷	flag: Greece	flag
1553	U+1F1EC U+1F1F8	🇬🇸	flag: South Georgia & South Sandwich Islands	flag
1554	U+1F1EC U+1F1F9	🇬🇹	flag: Guatemala	flag
1555	U+1F1EC U+1F1FA	🇬🇺	flag: Guam	flag
1556	U+1F1EC U+1F1FC	🇬🇼	flag: Guinea-Bissau	flag
1557	U+1F1EC U+1F1FE	🇬🇾	flag: Guyana	flag
1558	U+1F1ED U+1F1F0	🇭🇰	flag: Hong Kong SAR China	flag
1559	U+1F1ED U+1F1F2	🇭🇲	flag: Heard & McDonald Islands	flag
1560	U+1F1ED U+1F1F3	🇭🇳	flag: Honduras	flag
1561	U+1F1ED U+1F1F7	🇭🇷	flag: Croatia	flag
1562	U+1F1ED U+1F1F9	🇭🇹	flag: Haiti	flag
1563	U+1F1ED U+1F1FA	🇭🇺	flag: Hungary	flag
1564	U+1F1EE U+1F1E8	🇮🇨	flag: Canary Islands	flag
1565	U+1F1EE U+1F1E9	🇮🇩	flag: Indonesia	flag
1566	U+1F1EE U+1F1EA	🇮🇪	flag: Ireland	flag
1567	U+1F1EE U+1F1F1	🇮🇱	flag: Israel	flag
1568	U+1F1EE U+1F1F2	🇮🇲	flag: Isle of Man	flag
1569	U+1F1EE U+1F1F3	🇮🇳	flag: India	flag
1570	U+1F1EE U+1F1F4	🇮🇴	flag: British Indian Ocean Territory	flag
1571	U+1F1EE U+1F1F6	🇮🇶	flag: Iraq	flag
1572	U+1F1EE U+1F1F7	🇮🇷	flag: Iran	flag
1573	U+1F1EE U+1F1F8	🇮🇸	flag: Iceland	flag
1574	U+1F1EE U+1F1F9	🇮🇹	flag: Italy	flag
1575	U+1F1EF U+1F1EA	🇯🇪	flag: Jersey	flag
1576	U+1F1EF U+1F1F2	🇯🇲	flag: Jamaica	flag
1577	U+1F1EF U+1F1F4	🇯🇴	flag: Jordan	flag
1578	U+1F1EF U+1F1F5	🇯🇵	flag: Japan	flag
1579	U+1F1F0 U+1F1EA	🇰🇪	flag: Kenya	flag
1580	U+1F1F0 U+1F1EC	🇰🇬	flag: Kyrgyzstan	flag
1581	U+1F1F0 U+1F1ED	🇰🇭	flag: Cambodia	flag
1582	U+1F1F0 U+1F1EE	🇰🇮	flag: Kiribati	flag
1583	U+1F1F0 U+1F1F2	🇰🇲	flag: Comoros	flag
1584	U+1F1F0 U+1F1F3	🇰🇳	flag: St. Kitts & Nevis	flag
1585	U+1F1F0 U+1F1F5	🇰🇵	flag: North Korea	flag
1586	U+1F1F0 U+1F1F7	🇰🇷	flag: South Korea	flag
1587	U+1F1F0 U+1F1FC	🇰🇼	flag: Kuwait	flag
1588	U+1F1F0 U+1F1FE	🇰🇾	flag: Cayman Islands	flag
1589	U+1F1F0 U+1F1FF	🇰🇿	flag: Kazakhstan	flag
1590	U+1F1F1 U+1F1E6	🇱🇦	flag: Laos	flag
1591	U+1F1F1 U+1F1E7	🇱🇧	flag: Lebanon	flag
1592	U+1F1F1 U+1F1E8	🇱🇨	flag: St. Lucia	flag
1593	U+1F1F1 U+1F1EE	🇱🇮	flag: Liechtenstein	flag
1594	U+1F1F1 U+1F1F0	🇱🇰	flag: Sri Lanka	flag
1595	U+1F1F1 U+1F1F7	🇱🇷	flag: Liberia	flag
1596	U+1F1F1 U+1F1F8	🇱🇸	flag: Lesotho	flag
1597	U+1F1F1 U+1F1F9	🇱🇹	flag: Lithuania	flag
1598	U+1F1F1 U+1F1FA	🇱🇺	flag: Luxembourg	flag
1599	U+1F1F1 U+1F1FB	🇱🇻	flag: Latvia	flag
1600	U+1F1F1 U+1F1FE	🇱🇾	flag: Libya	flag
1601	U+1F1F2 U+1F1E6	🇲🇦	flag: Morocco	flag
1602	U+1F1F2 U+1F1E8	🇲🇨	flag: Monaco	flag
1603	U+1F1F2 U+1F1E9	🇲🇩	flag: Moldova	flag
1604	U+1F1F2 U+1F1EA	🇲🇪	flag: Montenegro	flag
1605	U+1F1F2 U+1F1EB	🇲🇫	flag: St. Martin	flag
1606	U+1F1F2 U+1F1EC	🇲🇬	flag: Madagascar	flag
1607	U+1F1F2 U+1F1ED	🇲🇭	flag: Marshall Islands	flag
1608	U+1F1F2 U+1F1F0	🇲🇰	flag: North Macedonia	flag
1609	U+1F1F2 U+1F1F1	🇲🇱	flag: Mali	flag
1610	U+1F1F2 U+1F1F2	🇲🇲	flag: Myanmar (Burma)	flag
1611	U+1F1F2 U+1F1F3	🇲🇳	flag: Mongolia	flag
1612	U+1F1F2 U+1F1F4	🇲🇴	flag: Macao SAR China	flag
1613	U+1F1F2 U+1F1F5	🇲🇵	flag: Northern Mariana Islands	flag
1614	U+1F1F2 U+1F1F6	🇲🇶	flag: Martinique	flag
1615	U+1F1F2 U+1F1F7	🇲🇷	flag: Mauritania	flag
1616	U+1F1F2 U+1F1F8	🇲🇸	flag: Montserrat	flag
1617	U+1F1F2 U+1F1F9	🇲🇹	flag: Malta	flag
1618	U+1F1F2 U+1F1FA	🇲🇺	flag: Mauritius	flag
1619	U+1F1F2 U+1F1FB	🇲🇻	flag: Maldives	flag
1620	U+1F1F2 U+1F1FC	🇲🇼	flag: Malawi	flag
1621	U+1F1F2 U+1F1FD	🇲🇽	flag: Mexico	flag
1622	U+1F1F2 U+1F1FE	🇲🇾	flag: Malaysia	flag
1623	U+1F1F2 U+1F1FF	🇲🇿	flag: Mozambique	flag
1624	U+1F1F3 U+1F1E6	🇳🇦	flag: Namibia	flag
1625	U+1F1F3 U+1F1E8	🇳🇨	flag: New Caledonia	flag
1626	U+1F1F3 U+1F1EA	🇳🇪	flag: Niger	flag
1627	U+1F1F3 U+1F1EB	🇳🇫	flag: Norfolk Island	flag
1628	U+1F1F3 U+1F1EC	🇳🇬	flag: Nigeria	flag
1629	U+1F1F3 U+1F1EE	🇳🇮	flag: Nicaragua	flag
1630	U+1F1F3 U+1F1F1	🇳🇱	flag: Netherlands	flag
1631	U+1F1F3 U+1F1F4	🇳🇴	flag: Norway	flag
1632	U+1F1F3 U+1F1F5	🇳🇵	flag: Nepal	flag
1633	U+1F1F3 U+1F1F7	🇳🇷	flag: Nauru	flag
1634	U+1F1F3 U+1F1FA	🇳🇺	flag: Niue	flag
1635	U+1F1F3 U+1F1FF	🇳🇿	flag: New Zealand	flag
1636	U+1F1F4 U+1F1F2	🇴🇲	flag: Oman	flag
1637	U+1F1F5 U+1F1E6	🇵🇦	flag: Panama	flag
1638	U+1F1F5 U+1F1EA	🇵🇪	flag: Peru	flag
1639	U+1F1F5 U+1F1EB	🇵🇫	flag: French Polynesia	flag
1640	U+1F1F5 U+1F1EC	🇵🇬	flag: Papua New Guinea	flag
1641	U+1F1F5 U+1F1ED	🇵🇭	flag: Philippines	flag
1642	U+1F1F5 U+1F1F0	🇵🇰	flag: Pakistan	flag
1643	U+1F1F5 U+1F1F1	🇵🇱	flag: Poland	flag
1644	U+1F1F5 U+1F1F2	🇵🇲	flag: St. Pierre & Miquelon	flag
1645	U+1F1F5 U+1F1F3	🇵🇳	flag: Pitcairn Islands	flag
1646	U+1F1F5 U+1F1F7	🇵🇷	flag: Puerto Rico	flag
